Datum;Erster;Hoch;Tief;Schlusskurs;Volumen
2016-03-21;9.893,26;10.095,46;9.863,83;9.925,89;1.764.851.712
2016-03-18;9.905,67;9.961,48;9.822,52;9.950,8;8.494.747.648
2016-03-17;10.051,69;10.055,29;9.753,04;9.892,2;3.903.401.728
2016-03-16;9.971,04;10.021,7;9.917,92;9.983,41;3.237.577.216
2016-03-15;9.941,46;9.973,58;9.890,12;9.933,85;2.655.412.992
2016-03-14;9.948,21;10.039,61;9.936,06;9.990,26;3.042.022.912
2016-03-11;9.672,05;9.833,9;9.642,79;9.831,13;3.800.439.296
2016-03-10;9.697,64;9.995,84;9.498,15;9.498,15;6.030.106.624
2016-03-09;9.700,16;9.838,95;9.679,19;9.723,09;3.439.289.856
2016-03-08;9.688,47;9.785,05;9.617,69;9.692,82;3.311.015.680
2016-03-07;9.764,08;9.803,73;9.690;9.778,93;2.519.621.888
2016-03-04;9.800,86;9.899,11;9.742,76;9.824,17;3.380.773.376
2016-03-03;9.807,06;9.808,52;9.709,68;9.751,92;3.003.942.400
2016-03-02;9.780,84;9.837,11;9.695,98;9.776,62;3.515.852.032
2016-03-01;9.482,66;9.719,02;9.471,09;9.717,16;3.361.669.888
2016-02-29;9.424,93;9.498,57;9.332,42;9.495,4;3.332.891.904
2016-02-26;9.454,52;9.576,88;9.436,33;9.513,3;3.543.656.192
2016-02-25;9.277,02;9.391,31;9.199,09;9.331,48;3.393.822.976
2016-02-24;9.396,48;9.415,33;9.125,19;9.167,8;3.577.020.416
2016-02-23;9.503,12;9.535,12;9.405,22;9.416,77;2.944.217.088
2016-02-22;9.481,37;9.581,45;9.477,69;9.573,59;2.807.951.872
2016-02-19;9.420,51;9.474,02;9.319,1;9.388,05;3.694.096.128
2016-02-18;9.428,01;9.551,87;9.349,95;9.463,64;3.655.541.504
2016-02-17;9.174,28;9.394,62;9.156,14;9.377,21;3.617.709.568
2016-02-16;9.242,75;9.269,06;9.079,19;9.135,11;3.089.120.256
2016-02-15;9.163,54;9.249,46;9.134,76;9.206,84;3.569.944.832
2016-02-12;8.854,4;8.967,51;8.815,77;8.967,51;4.154.094.592
2016-02-11;8.887,89;8.899,57;8.699,29;8.752,87;4.673.121.280
2016-02-10;8.937,98;9.128,54;8.875,45;9.017,29;4.044.150.784
2016-02-09;8.980,71;9.041,9;8.772,88;8.879,4;4.998.994.432
2016-02-08;9.329,87;9.337,52;8.937,98;8.979,36;4.875.351.552
2016-02-05;9.375,29;9.469,71;9.250,84;9.286,23;4.369.835.520
2016-02-04;9.522,67;9.539,92;9.270,09;9.393,36;4.731.516.416
2016-02-03;9.541,53;9.577,2;9.350,98;9.434,82;4.300.801.024
2016-02-02;9.721,18;9.729,23;9.536,97;9.581,04;3.541.710.848
2016-02-01;9.823,73;9.827,1;9.638,58;9.757,88;3.072.775.936
2016-01-29;9.772,58;9.798,38;9.656,36;9.798,11;4.079.750.400
2016-01-28;9.826,28;9.905,08;9.594,8;9.639,59;3.905.354.496
2016-01-27;9.781,42;9.880,82;9.728,64;9.880,82;3.282.937.856
2016-01-26;9.599,56;9.867,18;9.563,64;9.822,75;3.895.965.184
2016-01-25;9.790,44;9.800,49;9.681,7;9.736,15;3.197.269.248
2016-01-22;9.762,55;9.837,62;9.704,9;9.764,88;4.370.950.656
2016-01-21;9.400,69;9.656,33;9.348,74;9.574,16;4.963.624.448
2016-01-20;9.430,13;9.490,45;9.314,57;9.391,64;4.825.819.136
2016-01-19;9.722,64;9.756,14;9.626,65;9.664,21;3.396.201.216
2016-01-18;9.542,6;9.657,94;9.457,95;9.521,85;3.383.297.536
2016-01-15;9.778,36;9.832,92;9.459,09;9.545,27;5.862.219.264
2016-01-14;9.836,85;9.884,27;9.614,77;9.794,2;5.324.136.448
2016-01-13;10.112,35;10.164,05;9.929,07;9.960,96;3.430.627.328
2016-01-12;9.832,82;10.092,67;9.832,82;9.985,43;3.708.558.080
2016-01-11;9.814,04;9.978,69;9.813,02;9.825,07;3.578.257.664
2016-01-08;10.010,47;10.122,46;9.849,34;9.849,34;3.938.901.760
2016-01-07;10.144,17;10.145,47;9.810,47;9.979,85;5.048.312.832
2016-01-06;10.288,68;10.288,68;10.094,18;10.214,02;3.592.296.704
2016-01-05;10.373,27;10.384,26;10.173,52;10.310,1;3.470.784.256
2016-01-04;10.485,81;10.485,91;10.248,58;10.283,44;4.934.835.712
2015-12-30;10.855,17;10.857,43;10.743,01;10.743,01;1.395.427.456
2015-12-29;10.744,96;10.860,14;10.731,63;10.860,14;1.984.780.416
2015-12-28;10.748,37;10.756,17;10.627,46;10.653,91;1.255.261.824
2015-12-23;10.623,56;10.743,32;10.595,27;10.727,64;2.605.014.528
2015-12-22;10.598,19;10.623,98;10.400,61;10.488,75;2.520.793.344
2015-12-21;10.607,2;10.796,03;10.497,77;10.497,77;3.135.258.880
2015-12-18;10.639,98;10.735,85;10.543,05;10.608,19;8.456.462.336
2015-12-17;10.685,3;10.829,62;10.656,39;10.738,12;4.655.305.728
2015-12-16;10.476,06;10.572,55;10.423,78;10.469,26;3.097.020.416
2015-12-15;10.239,8;10.482,75;10.237,48;10.450,38;3.988.668.160
2015-12-14;10.406,71;10.448,65;10.122,95;10.139,34;3.950.923.008
2015-12-11;10.572,86;10.596,03;10.294,25;10.340,06;4.054.492.416
2015-12-10;10.547,52;10.662,77;10.500,03;10.598,93;3.117.427.456
2015-12-09;10.719,7;10.719,7;10.554,54;10.592,49;3.782.085.376
2015-12-08;10.872,68;10.895,5;10.616,24;10.673,6;3.563.608.832
2015-12-07;10.832,42;10.992,55;10.806,52;10.886,09;2.924.958.208
2015-12-04;10.770,16;10.814,82;10.632,77;10.752,1;4.450.473.472
2015-12-03;11.173,79;11.318,8;10.780,63;10.789,24;6.836.425.728
2015-12-02;11.301,51;11.329,79;11.188,03;11.190,02;3.400.502.528
2015-12-01;11.422,47;11.430,38;11.235,97;11.261,24;4.566.501.888
2015-11-30;11.268,31;11.430,87;11.253,37;11.382,23;4.228.451.328
2015-11-27;11.277,91;11.354,01;11.247,14;11.293,76;2.593.300.224
2015-11-26;11.180,94;11.366,37;11.176,56;11.320,77;3.375.746.132
2015-11-25;10.958,4;11.186,68;10.921,71;11.169,54;3.533.727.488
2015-11-24;11.064,78;11.064,96;10.869,2;10.933,99;3.590.022.656
2015-11-23;11.105,92;11.126,34;11.049,99;11.092,31;2.480.625.920
2015-11-20;11.123,81;11.164,3;11.049,35;11.119,83;3.186.330.880
2015-11-19;11.061,88;11.150,74;11.045,53;11.085,44;3.075.566.848
2015-11-18;10.901,74;10.989,55;10.877,6;10.959,95;2.472.055.552
2015-11-17;10.810,92;10.971,04;10.782,91;10.971,04;3.094.149.120
2015-11-16;10.609,14;10.763,65;10.608,83;10.713,23;2.589.045.248
2015-11-13;10.764,57;10.811,78;10.607,46;10.708,4;3.356.335.872
2015-11-12;10.895,74;10.957,61;10.735,17;10.782,63;3.483.023.360
2015-11-11;10.843,68;10.994,54;10.843,68;10.907,87;3.117.081.088
2015-11-10;10.846,96;10.863,56;10.728,95;10.832,52;2.911.782.144
2015-11-09;10.993,24;10.995,48;10.807,17;10.815,45;3.000.782.336
2015-11-06;10.872,98;11.055,45;10.843,48;10.988,03;3.922.260.480
2015-11-05;10.847,5;10.963,9;10.784,28;10.887,74;3.944.919.296
2015-11-04;10.957,06;10.990,72;10.825,55;10.845,24;4.136.339.968
2015-11-03;10.945,35;10.972,28;10.883,94;10.951,15;3.200.905.984
2015-11-02;10.749,98;10.977,18;10.744,37;10.950,67;3.302.227.456
2015-10-30;10.842,52;10.850,58;10.748,7;10.850,14;3.426.702.336
2015-10-29;10.867,19;10.886,98;10.741,14;10.800,84;3.984.736.000
2015-10-28;10.728,16;10.848,41;10.691,63;10.831,96;3.012.986.368
2015-10-27;10.761,37;10.807,41;10.692,19;10.692,19;3.147.072.256
2015-10-26;10.791,18;10.863,09;10.756,83;10.801,34;2.915.610.112
2015-10-23;10.610,33;10.847,47;10.586,96;10.794,54;5.170.667.008
2015-10-22;10.213,01;10.508,25;10.194,74;10.491,97;4.282.964.224
2015-10-21;10.185,42;10.277,59;10.107,92;10.238,1;2.738.825.728
2015-10-20;10.174,8;10.194,53;10.080,19;10.147,68;2.391.706.112
2015-10-19;10.084,61;10.205,03;10.084,61;10.164,31;2.425.970.688
2015-10-16;10.128,81;10.166,79;10.058,53;10.104,43;3.706.626.304
2015-10-15;9.999,64;10.088,47;9.957,39;10.064,8;3.351.030.528
2015-10-14;9.948,49;10.036,23;9.890,46;9.915,85;3.313.645.568
2015-10-13;10.106,67;10.107,86;9.939,96;10.032,82;3.539.460.608
2015-10-12;10.128,49;10.187,09;10.057,59;10.119,83;3.161.461.248
2015-10-09;10.100,78;10.146,88;10.049,39;10.096,6;3.681.158.912
2015-10-08;9.942,78;10.027,42;9.911,05;9.993,07;3.558.046.208
2015-10-07;9.968,56;10.093,1;9.932,42;9.970,4;4.321.100.288
2015-10-06;9.804,42;9.957,92;9.730,41;9.902,83;3.472.808.960
2015-10-05;9.691,65;9.854,77;9.647,17;9.814,79;4.031.017.984
2015-10-02;9.606,59;9.667,54;9.396,34;9.553,07;4.081.097.216
2015-10-01;9.757,04;9.788,27;9.471,36;9.509,25;4.003.804.416
2015-09-30;9.674,61;9.732,54;9.596,95;9.660,44;3.952.666.880
2015-09-29;9.346,04;9.536,63;9.325,05;9.450,4;4.065.548.544
2015-09-28;9.633,68;9.677,25;9.479,4;9.483,55;3.822.843.136
2015-09-25;9.594,53;9.745,77;9.585,33;9.688,53;4.614.789.120
2015-09-24;9.599,91;9.707,69;9.362,28;9.427,64;6.375.330.304
2015-09-23;9.578,1;9.712,46;9.492,86;9.612,62;4.970.325.504
2015-09-22;9.974,41;9.974,8;9.558,96;9.570,66;6.837.352.960
2015-09-21;9.837,13;10.000,62;9.785,11;9.948,51;5.553.851.904
2015-09-18;10.177,6;10.180,5;9.861,51;9.916,16;10.956.764.160
2015-09-17;10.269,3;10.273,3;10.208,5;10.229,6;3.576.631.040
2015-09-16;10.288,4;10.336,2;10.174;10.227,2;3.629.419.008
2015-09-15;10.154,8;10.244,9;10.070,2;10.188,1;3.579.431.680
2015-09-14;10.112,9;10.225,4;10.084,9;10.131,7;2.661.689.600
2015-09-11;10.243,4;10.243,4;10.079;10.123,6;2.591.293.952
2015-09-10;10.216;10.326,5;10.157,4;10.210,4;3.312.846.592
2015-09-09;10.489,3;10.512,6;10.301,2;10.303,1;3.797.358.080
2015-09-08;10.198,6;10.371,9;10.198,5;10.271,4;3.360.094.208
2015-09-07;10.148,8;10.184,6;10.055,1;10.108,6;1.830.754.816
2015-09-04;10.216,2;10.216,2;9.996,16;10.038;4.249.371.648
2015-09-03;10.161,4;10.380,4;10.145,7;10.317,8;4.205.767.168
2015-09-02;10.060,3;10.122,3;9.962,25;10.048;3.009.178.624
2015-09-01;10.073,7;10.119,5;9.928,65;10.015,6;3.943.579.904
2015-08-31;10.201;10.273,5;10.132,2;10.259,5;2.596.213.504
2015-08-28;10.335,9;10.336,9;10.186,1;10.298,5;2.957.873.920
2015-08-27;10.271,3;10.383;10.222;10.315,6;4.380.869.120
2015-08-26;9.956,85;10.160;9.853,12;9.997,43;5.021.307.392
2015-08-25;9.816,59;10.185,9;9.748,92;10.128,1;7.774.595.072
2015-08-24;9.805,72;9.935,53;9.338,2;9.648,43;10.879.538.176
2015-08-21;10.228,7;10.437,3;10.124,5;10.124,5;6.499.942.400
2015-08-20;10.593,3;10.654,5;10.401;10.432,2;4.668.115.456
2015-08-19;10.819,8;10.848,8;10.681,4;10.682,2;3.493.091.840
2015-08-18;10.916,7;10.976;10.883,1;10.915,9;2.459.660.800
2015-08-17;11.044,8;11.113,8;10.818,7;10.940,3;3.020.282.624
2015-08-14;11.010,5;11.093,1;10.911,2;10.985,1;2.770.473.984
2015-08-13;11.098,2;11.154;10.980,9;11.014,6;3.624.656.384
2015-08-12;11.151,7;11.153,6;10.892,9;10.924,6;5.477.437.440
2015-08-11;11.548;11.561;11.278,7;11.293,7;4.122.632.448
2015-08-10;11.545,6;11.618,3;11.431,8;11.604,8;2.517.981.696
2015-08-07;11.561,4;11.582,9;11.484,8;11.490,8;2.722.007.296
2015-08-06;11.605,6;11.669,9;11.575;11.585,1;2.835.405.056
2015-08-05;11.503,2;11.655,7;11.497,9;11.636,3;3.518.704.128
2015-08-04;11.408,2;11.476,9;11.380,8;11.456,1;3.028.223.744
2015-08-03;11.295,5;11.460,4;11.248,3;11.443,7;3.450.943.488
2015-07-31;11.271,3;11.309;11.173,2;11.309;4.045.917.696
2015-07-30;11.305,5;11.313,3;11.140,7;11.257,2;3.940.568.064
2015-07-29;11.249,3;11.253,6;11.123,2;11.211,8;3.745.142.528
2015-07-28;11.129,9;11.242,4;11.068,3;11.173,9;3.474.793.984
2015-07-27;11.287,8;11.297,5;11.052,9;11.056,4;4.017.193.216
2015-07-24;11.467,8;11.542,9;11.334,8;11.347,5;3.483.372.800
2015-07-23;11.611,4;11.614,8;11.453,6;11.512,1;3.099.000.064
2015-07-22;11.511,2;11.589,6;11.486,3;11.520,7;2.922.986.240
2015-07-21;11.760;11.773,5;11.583,9;11.604,8;2.989.307.136
2015-07-20;11.679,5;11.802,4;11.678,1;11.735,72;2.942.199.040
2015-07-17;11.747,5;11.753,2;11.649,9;11.673,42;3.227.196.160
2015-07-16;11.624,5;11.787,6;11.607,1;11.716,76;4.129.403.136
2015-07-15;11.508,3;11.566;11.476;11.539,66;3.207.243.776
2015-07-14;11.456,5;11.519,4;11.414,4;11.516,9;3.283.964.928
2015-07-13;11.489,2;11.507;11.421,8;11.484,38;4.458.290.176
2015-07-10;11.170,7;11.339,8;11.149,3;11.315,63;4.698.516.992
2015-07-09;10.795,1;11.035;10.784,5;10.996,41;3.800.751.360
2015-07-08;10.710,3;10.802,8;10.652,8;10.747,3;4.613.775.360
2015-07-07;10.930;10.946,9;10.664;10.676,78;4.658.383.872
2015-07-06;10.825,1;10.996,5;10.823,5;10.890,63;4.174.252.800
2015-07-03;11.082;11.123,2;11.005,8;11.058,39;2.731.188.480
2015-07-02;11.191,3;11.229;11.078,6;11.099,35;3.080.353.792
2015-07-01;11.050,3;11.283,8;10.979,2;11.180,5;5.429.113.856
2015-06-30;11.058;11.137,1;10.898;10.944,97;6.099.054.592
2015-06-29;11.404,7;11.409,8;10.964,2;11.083,2;5.816.801.280
2015-06-26;11.387,1;11.561,8;11.373,4;11.492,43;3.928.261.888
2015-06-25;11.410,6;11.594,2;11.352,4;11.473,13;3.217.095.424
2015-06-24;11.566,3;11.589,3;11.364,5;11.471,26;4.158.693.888
2015-06-23;11.553;11.635,8;11.517,1;11.542,54;4.059.373.568
2015-06-22;11.138,7;11.470,2;11.138,5;11.460,5;5.415.828.480
2015-06-19;11.121,3;11.246,3;10.997,9;11.040,1;8.947.852.288
2015-06-18;10.937,7;11.109,8;10.806,2;11.100,3;4.228.826.112
2015-06-17;11.066,8;11.115,4;10.947,4;10.978,01;3.298.829.568
2015-06-16;10.910;11.074,3;10.797,8;11.044,01;3.788.167.168
2015-06-15;11.053,2;11.090,7;10.952,7;10.984,97;3.432.038.656
2015-06-12;11.286,6;11.365,9;11.069,4;11.196,49;3.775.110.656
2015-06-11;11.242,9;11.452,9;11.236,6;11.332,78;4.109.084.672
2015-06-10;10.970,4;11.299,6;10.939,5;11.265,39;4.579.228.672
2015-06-09;11.025,1;11.071,6;10.864,7;11.001,29;4.328.259.584
2015-06-08;11.131,9;11.224,6;11.059,2;11.064,92;3.916.630.784
2015-06-05;11.241,4;11.287,2;11.155;11.197,15;3.900.356.096
2015-06-04;11.370,6;11.449,7;11.187,4;11.340,6;4.058.475.264
2015-06-03;11.359,8;11.515,2;11.300,4;11.419,62;3.877.678.848
2015-06-02;11.467,1;11.467,1;11.270,6;11.328,8;3.863.362.816
2015-06-01;11.463;11.510,9;11.345,1;11.436,05;3.412.643.328
2015-05-29;11.685,7;11.704,4;11.403,8;11.413,82;5.423.206.912
2015-05-28;11.716,1;11.773,8;11.606;11.677,57;3.535.494.144
2015-05-27;11.647;11.790,3;11.595,1;11.771,13;4.290.325.504
2015-05-26;11.841,5;11.920,3;11.586,3;11.625,13;4.163.840.512
2015-05-22;11.881,5;11.881,8;11.792,3;11.815,01;2.710.441.728
2015-05-21;11.815,4;11.868,7;11.758,8;11.864,59;2.946.656.512
2015-05-20;11.858,5;11.871,5;11.780;11.848,47;3.017.142.016
2015-05-19;11.709,9;11.873,3;11.706,8;11.853,33;4.722.672.128
2015-05-18;11.464,8;11.595;11.378,9;11.594,28;3.485.086.208
2015-05-15;11.593,2;11.632,4;11.383,2;11.447,03;4.614.958.080
2015-05-14;11.299,2;11.579,8;11.218,5;11.559,82;3.248.489.216
2015-05-13;11.533;11.596,5;11.301,6;11.351,46;4.391.867.392
2015-05-12;11.558;11.565,2;11.377,3;11.472,41;4.676.407.808
2015-05-11;11.674,5;11.702,1;11.622;11.673,35;3.163.375.104
2015-05-08;11.483,1;11.710,4;11.415,3;11.709,73;5.025.996.800
2015-05-07;11.265,1;11.437,6;11.167,5;11.407,97;5.204.622.848
2015-05-06;11.377,6;11.457,9;11.239,9;11.350,15;5.016.578.560
2015-05-05;11.576,1;11.751,2;11.322,6;11.327,68;5.423.909.888
2015-05-04;11.506,8;11.656,9;11.411,8;11.619,85;3.765.985.792
2015-04-30;11.440,8;11.570,6;11.331,4;11.454,38;5.862.318.592
2015-04-29;11.864,4;11.885;11.410,5;11.432,72;6.022.741.504
2015-04-28;12.035,6;12.047,4;11.743,8;11.811,66;4.909.863.936
2015-04-27;11.881,2;12.050,7;11.729;12.039,16;5.011.589.632
2015-04-24;11.783,6;11.881;11.711,1;11.810,85;4.205.450.240
2015-04-23;11.887,1;11.940,2;11.675,6;11.723,58;4.690.657.280
2015-04-22;11.984,4;12.041,4;11.787,2;11.867,37;4.050.953.216
2015-04-21;11.994,8;12.079;11.913,4;11.939,58;4.059.284.224
2015-04-20;11.736,4;11.903,7;11.727;11.891,91;3.574.904.064
2015-04-17;11.942,4;12.019,8;11.674,6;11.688,7;6.477.179.392
2015-04-16;12.224,8;12.227,6;11.997,8;11.998,86;4.370.874.880
2015-04-15;12.220,1;12.326,1;12.214,8;12.231,34;3.230.309.632
2015-04-14;12.306,4;12.339,8;12.181,2;12.227,6;3.308.902.144
2015-04-13;12.357,3;12.388,1;12.326,7;12.338,73;2.912.969.728
2015-04-10;12.227;12.390,8;12.214,5;12.374,73;3.999.776.512
2015-04-09;12.099,4;12.166,4;12.047,9;12.166,44;2.901.241.856
2015-04-08;12.109,8;12.122,3;12.017,8;12.035,86;3.254.320.128
2015-04-07;12.057,3;12.149,3;12.035,7;12.123,52;3.958.715.392
2015-04-02;11.991,6;12.020,1;11.948,8;11.967,39;3.112.473.856
2015-04-01;11.902,9;12.113;11.880,2;12.001,4;4.093.583.150
2015-03-31;12.054,2;12.119,7;11.943,1;11.966,17;4.244.344.320
2015-03-30;11.927,1;12.090,1;11.922,7;12.086,01;3.543.490.304
2015-03-27;11.920,2;11.954,1;11.799;11.868,33;4.216.179.968
2015-03-26;11.736,3;11.849,4;11.619,7;11.843,68;5.514.585.088
2015-03-25;11.995,1;12.022,8;11.858,2;11.865,32;3.752.073.216
2015-03-24;11.821,2;12.030,6;11.797,7;12.005,69;4.336.109.568
2015-03-23;11.984,8;11.985,1;11.858,1;11.895,84;4.084.574.208
2015-03-20;11.942,2;12.087,6;11.926,9;12.039,37;8.750.580.736
2015-03-19;11.897,5;12.001,1;11.787,3;11.899,4;5.198.669.824
2015-03-18;12.002,2;12.017,9;11.814,5;11.922,77;5.512.943.104
2015-03-17;12.163,1;12.195,6;11.930,5;11.980,85;5.182.921.728
2015-03-16;11.955,8;12.219;11.955,3;12.167,72;5.138.553.344
2015-03-13;11.845,9;11.903,3;11.744,9;11.901,61;4.045.115.136
2015-03-12;11.795,9;11.830,1;11.754,9;11.799,39;4.596.362.752
2015-03-11;11.531,5;11.822,5;11.531,5;11.805,99;4.795.340.800
2015-03-10;11.556;11.577,8;11.402,7;11.500,38;3.876.815.104
2015-03-09;11.510,3;11.586,9;11.461,9;11.582,11;3.151.531.264
2015-03-06;11.513,9;11.600,4;11.495,2;11.550,97;3.550.495.232
2015-03-05;11.427,6;11.532,8;11.409;11.504,01;3.777.176.832
2015-03-04;11.317,2;11.390,4;11.193,3;11.390,38;3.742.582.016
2015-03-03;11.424,7;11.465,2;11.280,4;11.280,36;3.704.399.872
2015-03-02;11.408,3;11.455,1;11.362,9;11.410,36;3.709.458.944
2015-02-27;11.337,1;11.401,7;11.301,3;11.401,66;4.565.549.056
2015-02-26;11.206,7;11.330,6;11.187;11.327,19;3.930.627.584
2015-02-25;11.208,3;11.225,6;11.174,8;11.210,27;3.384.305.408
2015-02-24;11.128,2;11.228,4;11.090,7;11.205,74;3.271.624.448
2015-02-23;11.150,5;11.158,5;11.069,8;11.130,92;3.102.780.928
2015-02-20;10.976,8;11.081,8;10.946,9;11.050,64;6.012.160.000
2015-02-19;10.932,5;11.022,3;10.875;11.001,94;3.705.707.776
2015-02-18;10.931,7;10.981;10.909,6;10.961;2.885.342.208
2015-02-17;10.847,7;10.921,3;10.765;10.895,62;3.224.536.832
2015-02-16;10.946,9;10.963,5;10.909,5;10.923,23;2.373.652.224
2015-02-13;10.952,4;11.013,8;10.948,5;10.963,4;3.866.446.592
2015-02-12;10.746,9;10.955,5;10.746,9;10.919,65;4.295.373.312
2015-02-11;10.765;10.791,6;10.696,8;10.752,11;2.728.994.560
2015-02-10;10.675,6;10.797,5;10.594,3;10.753,83;3.786.231.040
2015-02-09;10.765,2;10.767,2;10.614,1;10.663,51;4.322.019.840
2015-02-06;10.866,2;10.877,7;10.802,9;10.846,39;3.261.815.808
2015-02-05;10.840,8;10.926,7;10.822,8;10.905,41;3.703.339.264
2015-02-04;10.892,5;10.912,2;10.803,1;10.911,32;3.914.018.560
2015-02-03;10.867,6;10.984,7;10.860;10.890,95;5.097.735.168
2015-02-02;10.719,2;10.828;10.677,4;10.828,01;4.016.582.656
2015-01-30;10.801,4;10.804;10.642,6;10.694,32;4.730.277.888
2015-01-29;10.666,4;10.743,6;10.607,7;10.737,87;3.854.731.264
2015-01-28;10.719,4;10.728,8;10.552,8;10.710,97;4.538.369.536
2015-01-27;10.785,9;10.810,6;10.592,5;10.628,58;5.118.383.616
2015-01-26;10.593;10.807,6;10.589,1;10.798,33;4.384.065.536
2015-01-23;10.503,3;10.704,3;10.502,8;10.649,58;7.153.049.088
2015-01-22;10.300,3;10.454;10.228,5;10.435,62;6.070.895.616
2015-01-21;10.270,3;10.311,9;10.149,8;10.299,23;4.622.964.224
2015-01-20;10.283,5;10.298,4;10.211,4;10.257,13;4.278.716.928
2015-01-19;10.231,6;10.293;10.192;10.242,35;3.331.457.024
2015-01-16;9.985,51;10.208;9.940,64;10.167,77;5.498.756.608
2015-01-15;9.933,45;10.063,2;9.637,33;10.032,61;5.817.427.968
2015-01-14;9.810,7;9.962,98;9.768,1;9.817,08;4.188.562.432
2015-01-13;9.759,57;9.978,94;9.755,02;9.941;4.227.558.912
2015-01-12;9.697,46;9.815,96;9.622,32;9.781,9;3.733.371.392
2015-01-09;9.813,99;9.860,18;9.601,75;9.648,5;4.070.871.808
2015-01-08;9.643,77;9.855,43;9.607,9;9.837,61;4.228.345.600
2015-01-07;9.510,34;9.592,37;9.459,18;9.518,18;2.991.222.016
2015-01-06;9.484,25;9.624,65;9.382,82;9.469,66;3.585.974.016
2015-01-05;9.735,65;9.790,27;9.468,58;9.473,16;3.995.686.912
2015-01-02;9.869,13;9.879,53;9.687,26;9.764,73;2.500.643.328
2014-12-30;9.883,1;9.886,78;9.805,55;9.805,55;1.306.435.200
2014-12-29;9.914,87;9.927,85;9.775,45;9.927,13;1.808.850.048
2014-12-23;9.887,24;9.922,11;9.848,06;9.922,11;1.868.564.224
2014-12-22;9.827,26;9.924,01;9.826,55;9.865,76;2.491.445.504
2014-12-19;9.901,26;9.901,26;9.688,66;9.786,96;7.123.477.504
2014-12-18;9.711,61;9.811,06;9.671,18;9.811,06;4.696.371.712
2014-12-17;9.455,74;9.589,25;9.429,4;9.544,43;3.733.592.320
2014-12-16;9.366,56;9.567,09;9.219,05;9.563,89;6.416.567.296
2014-12-15;9.599,82;9.678,26;9.330,99;9.334,01;4.245.218.048
2014-12-12;9.794,2;9.799,65;9.586,22;9.594,73;3.685.737.216
2014-12-11;9.770,66;9.907,82;9.763,41;9.862,53;3.751.934.464
2014-12-10;9.859,78;9.909,39;9.775,39;9.799,73;3.106.263.552
2014-12-09;9.904,58;9.951,66;9.786,38;9.793,71;4.054.488.320
2014-12-08;10.060,9;10.085;10.015;10.014,99;2.390.330.880
2014-12-05;9.931,96;10.093;9.929,47;10.087,12;3.521.495.808
2014-12-04;9.998,85;10.083,7;9.835,42;9.851,35;4.402.748.928
2014-12-03;9.978,89;9.993,85;9.930,53;9.971,79;2.976.465.408
2014-12-02;9.983,79;10.038,2;9.910,21;9.934,08;3.096.628.224
2014-12-01;9.915,74;9.979,08;9.906,42;9.963,51;3.082.107.392
2014-11-28;9.990,7;9.990,7;9.902,4;9.980,85;3.546.729.472
2014-11-27;9.934,78;9.992,67;9.920,86;9.974,87;2.764.431.616
2014-11-26;9.894,6;9.942,67;9.868,35;9.915,56;3.052.399.360
2014-11-25;9.790,03;9.921,46;9.787,26;9.861,21;3.980.037.888
2014-11-24;9.722,31;9.832,41;9.711,77;9.785,54;3.578.479.872
2014-11-21;9.521,24;9.736,14;9.508,17;9.732,55;6.522.307.072
2014-11-20;9.460,4;9.487,69;9.382,23;9.483,97;2.862.806.016
2014-11-19;9.462,05;9.521,73;9.439,16;9.472,8;2.565.844.224
2014-11-18;9.323,75;9.461,53;9.323,52;9.456,53;2.827.838.976
2014-11-17;9.162,27;9.331,32;9.161,6;9.306,35;2.571.005.184
2014-11-14;9.272,36;9.284,13;9.184,46;9.252,94;2.688.846.848
2014-11-13;9.260,53;9.311;9.170,28;9.248,51;2.826.689.536
2014-11-12;9.339,68;9.359,37;9.189,63;9.210,96;3.194.624.512
2014-11-11;9.374,36;9.400,9;9.324,77;9.369,03;2.738.850.560
2014-11-10;9.233,87;9.351,87;9.222,57;9.351,87;2.418.404.352
2014-11-07;9.406,16;9.414,32;9.239,11;9.291,83;4.041.001.216
2014-11-06;9.284,97;9.467,36;9.268,63;9.377,41;4.493.765.632
2014-11-05;9.238,07;9.329,07;9.226,34;9.315,48;3.023.454.720
2014-11-04;9.244,09;9.317,92;9.148,78;9.166,47;3.376.762.368
2014-11-03;9.305,73;9.343,64;9.236,18;9.251,7;2.784.522.752
2014-10-31;9.283,4;9.339,33;9.217;9.326,87;4.416.597.504
2014-10-30;9.091,13;9.146,95;8.899,9;9.114,84;4.118.118.656
2014-10-29;9.139;9.157,63;9.072,64;9.082,81;2.861.400.576
2014-10-28;8.983,06;9.077,89;8.968,59;9.068,19;2.628.372.480
2014-10-27;9.080,8;9.085,64;8.837,66;8.902,61;3.407.440.384
2014-10-24;9.008,6;9.044,85;8.955,59;8.987,8;3.297.849.088
2014-10-23;8.873,54;9.068,12;8.820,89;9.047,31;3.569.831.936
2014-10-22;8.934,54;8.957,16;8.861,44;8.940,14;3.398.462.720
2014-10-21;8.693,06;8.889,78;8.644,71;8.886,96;4.002.521.088
2014-10-20;8.819,26;8.834,73;8.682,59;8.717,76;3.627.606.784
2014-10-17;8.629,16;8.850,27;8.588,42;8.850,27;6.652.953.088
2014-10-16;8.623,28;8.662,86;8.354,97;8.582,9;7.275.824.640
2014-10-15;8.838,68;8.847,85;8.555,73;8.571,95;4.998.765.056
